"VPNID","NumberOfLanguages","InputPortugueseSchool","PortugueseFather","PortugueseMother","PortugueseParents","EducationFather","EducationMother","EducationParents","LanguageGroup","BilingualControl","RegionalLanguage","Time","Result"
"D_PLF_2",2,40,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T1",9
"D_PLF_2",2,40,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T2",10
"D_PLF_2",2,40,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T3",13
"D_PLF_3",2,30,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",10
"D_PLF_3",2,30,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",9
"D_PLF_3",2,30,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",11
"D_PLF_4",2,30,6,6,12,1,3,4,"Bilingual group (French)","bilingual","French","T1",8
"D_PLF_4",2,30,6,6,12,1,3,4,"Bilingual group (French)","bilingual","French","T2",10
"D_PLF_4",2,30,6,6,12,1,3,4,"Bilingual group (French)","bilingual","French","T3",13
"D_PLF_5",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",8
"D_PLF_5",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",6
"D_PLF_5",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",6
"D_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",7
"D_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",8
"D_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"Y_PNF_1",2,50,6,6,12,3,4,7,"Bilingual group (French)","bilingual","French","T1",8
"Y_PNF_1",2,50,6,6,12,3,4,7,"Bilingual group (French)","bilingual","French","T2",12
"Y_PNF_1",2,50,6,6,12,3,4,7,"Bilingual group (French)","bilingual","French","T3",7
"Y_PNF_2",2,50,5,5,10,3,2,5,"Bilingual group (French)","bilingual","French","T1",8
"Y_PNF_2",2,50,5,5,10,3,2,5,"Bilingual group (French)","bilingual","French","T2",14
"Y_PNF_2",2,50,5,5,10,3,2,5,"Bilingual group (French)","bilingual","French","T3",10
"Y_PNF_3",2,60,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T1",13
"Y_PNF_3",2,60,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T2",9
"Y_PNF_3",2,60,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T3",11
"Y_PNF_6",2,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T1",7
"Y_PNF_6",2,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T2",6
"Y_PNF_6",2,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T3",7
"Y_PNF_7",3,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T1",10
"Y_PNF_7",3,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T2",9
"Y_PNF_7",3,NA,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T3",8
"Y_PNF_8",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",5
"Y_PNF_8",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",7
"Y_PNF_8",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",8
"Y_PNF_10",2,20,0,6,6,4,4,8,"Bilingual group (French)","bilingual","French","T1",7
"Y_PNF_10",2,20,0,6,6,4,4,8,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_10",2,20,0,6,6,4,4,8,"Bilingual group (French)","bilingual","French","T3",13
"Y_PNF_12",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",9
"Y_PNF_12",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",8
"Y_PNF_12",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",10
"Y_PNF_13",2,100,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",8
"Y_PNF_13",2,100,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_13",2,100,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",9
"Y_PNF_14",2,40,0,6,6,4,3,7,"Bilingual group (French)","bilingual","French","T1",10
"Y_PNF_14",2,40,0,6,6,4,3,7,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_14",2,40,0,6,6,4,3,7,"Bilingual group (French)","bilingual","French","T3",7
"Y_PNF_15",3,20,6,5,11,5,3,8,"Bilingual group (French)","bilingual","French","T1",6
