Participant,Construction,Accent,Speaker,proportion_correct
S738,DO,None,Idan,0.1111111111111111
S738,PO,None,Idan,0.9
S746,DO,Accent,Nezar,0.2222222222222222
S746,PO,Accent,Nezar,0.6666666666666666
S748,DO,Accent,Nezar,0.8
S748,PO,Accent,Nezar,1
S75,DO,Accent,Idan,0.1111111111111111
S75,PO,Accent,Idan,0
S750,DO,Accent,Idan,1
S750,PO,Accent,Idan,1
S759,DO,Accent,Idan,0.1111111111111111
S759,PO,Accent,Idan,0.5555555555555556
S76,DO,None,Idan,0.3333333333333333
S76,PO,None,Idan,0.5
S760,DO,None,Idan,1
S760,PO,None,Idan,1
S761,DO,None,Nezar,1
S761,PO,None,Nezar,0.8888888888888888
S762,DO,Accent,Idan,0
S762,PO,Accent,Idan,0
S77,DO,None,Nezar,0
S77,PO,None,Nezar,0
S78,DO,Accent,Idan,0
S78,PO,Accent,Idan,0.6666666666666666
S91,DO,Accent,Idan,0
S91,PO,Accent,Idan,0
S92,DO,Accent,Nezar,0.1111111111111111
S92,PO,Accent,Nezar,0.3333333333333333
S95,DO,Accent,Idan,0.5555555555555556
S95,PO,Accent,Idan,0.4444444444444444
S98,DO,Accent,Nezar,0.8888888888888888
S98,PO,Accent,Nezar,0.8888888888888888
