"Stimulus","Subject","Hand","Session","Block","Mode","Trial","Response","RT","Translation","Correct","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","OtherLanguages","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","ProfileRight","zEnglish.MC","zEnglish.Cloze","English.Overall","Nonresponses","Status","Duration","Swedish","German","English","French","EnglishCognate","SwedishVoc","GermanVoc","EnglishVoc","FrenchVoc","SwedishCons","GermanCons","EnglishCons","FrenchCons","LevGer","LevEng","LevFre","ClosestCognate","MinLev","LevGerCons","LevEngCons","LevFreCons","ClosestCognateCons","MinLevCons","LevGerVoc","LevEngVoc","LevFreVoc","ClosestCognateVoc","MinLevVoc","FreqGerman","FreqEnglish","FreqFrench","FreqTot","FrenchFreq","EnglishFreq","GermanFreq"
"agg","9555","right",1,1,"Auditory",8,"yes",3212,"eng","0",16,7,0,0,"DBCA",3,"male",51,"monolingual","English, French, Tagalog",3,4,6,34,0,14,36,15,21,1,0,302.5,331,1,316.75,1,0.9285714286,455,517,1.1362637363,62,6,6,1,1,2,3,FALSE,0.289928971,0.9411297984,1.2310587694,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","8763","right",1,1,"Auditory",26,"yes",1409,"eng","0",15,5,0,0,"BDAC",4,"female",40,"monolingual","English, French",2,3,4,27,0,26,13,5,8,1,0,263.5,436,1,349.75,1,1,590,528.5,0.8957627119,-61.5,6,6,2,1,2,1,FALSE,-1.87776427,-0.9818073143,-2.8595715842,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","7098","right",1,1,"Auditory",38,"yes",3407,"tinte","0",19,23,0,0,"ACBD",2,"female",62,"monolingual","English",1,2,2,35,2,1,37,14,23,1,0.05,231,445,0.9875,338,1,1,466.5,546.5,1.1714898178,80,6,6,1,1,3,3,FALSE,0.0731596469,1.2369662773,1.3101259242,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","6329","right",1,1,"Auditory",30,"yes",2236,"Tinte","0",23,26,1,0,"DACB",3,"female",56,"monolingual","English, French, Spanish",3,5,6,37,0,21,42,19,23,1,0,234.5,403,1,318.75,1,0.9285714286,496,519,1.0463709677,23,6,6,5,5,5,5,TRUE,1.1570062673,1.2369662773,2.3939725447,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","4432","right",1,1,"Auditory",15,"no",1269,"","0",16,20,0,0,"CBDA",1,"female",16,"monolingual","English, French, Spanish",3,4,6,29,0,18,32,16,16,0.95,0,280,279.5,0.9875,279.75,0.8571428571,0.8571428571,390,384,0.9846153846,-6,6,6,3,3,4,4,FALSE,0.5066982951,0.2015386012,0.7082368963,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","3434","right",1,2,"Auditory",44,"no",2106,"","0",17,26,1,1,"BDAC",4,"female",37,"monolingual","English, French, Spanish",3,3,3,37,3,17,39,16,23,1,0,644,981,1,812.5,1,1,451.5,602.5,1.334440753,151,6,6,4,4,5,5,TRUE,0.5066982951,1.2369662773,1.7436645724,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","1312","right",1,1,"Auditory",8,"yes",3135,"end","0",2,16,0,0,"CADB",1,"male",77,"monolingual","English, Italian",2,4,6,32,3,2,9,7,2,1,0.45,293.5,1582,0.8875,937.75,1,0.9285714286,403.5,441,1.092936803,37.5,6,6,1,1,2,1,FALSE,-1.4442256218,-1.8693167509,-3.3135423727,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","2290","right",1,2,"Auditory",39,"yes",1605,"ink","0",7,21,0,0,"CBDA",1,"male",58,"monolingual","English, French",2,4,5,36,1,0,33,13,20,0.95,0,216,782.5,0.9875,499.25,0.9285714286,0.8571428571,665,639.5,0.9616541353,-25.5,3,4,1,1,6,6,FALSE,-0.1436096772,0.793211559,0.6496018818,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","9275","right",1,2,"Auditory",1,"no",3550,"","0",11,24,1,0,"DBCA",3,"male",72,"monolingual","English, French, Italian",3,5,7,35,0,9,15,8,7,1,0.05,423.5,772,0.9875,597.75,1,1,736,756.5,1.0278532609,20.5,6,6,2,2,1,1,TRUE,-1.2274562977,-1.1297255537,-2.3571818514,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","7601","right",1,2,"Auditory",14,"yes",1656,"Tinte","0",17,22,0,0,"DBCA",3,"female",38,"monolingual","English, French, Italian",3,6,9,36,0,22,39,20,19,1,0,492,501,1,496.5,0.9285714286,1,324,379,1.1697530864,55,6,6,2,2,3,3,FALSE,1.3737755914,0.6452933196,2.019068911,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
