Participant,Construction,Accent,Speaker,Item,Correct
S136,PO,Accent,Idan,19,FALSE
S136,DO,Accent,Idan,9,FALSE
S136,PO,Accent,Idan,15,FALSE
S136,PO,Accent,Idan,8,FALSE
S136,PO,Accent,Idan,1,FALSE
S136,PO,Accent,Idan,11,FALSE
S136,DO,Accent,Idan,14,FALSE
S136,PO,Accent,Idan,17,FALSE
S136,PO,Accent,Idan,6,FALSE
S136,DO,Accent,Idan,12,FALSE
S136,DO,Accent,Idan,2,FALSE
S136,PO,Accent,Idan,13,FALSE
S136,DO,Accent,Idan,5,FALSE
S136,DO,Accent,Idan,3,FALSE
S137,PO,None,Nezar,20,TRUE
S137,DO,None,Nezar,10,FALSE
S137,DO,None,Nezar,3,TRUE
S137,DO,None,Nezar,5,TRUE
S137,PO,None,Nezar,11,FALSE
S137,PO,None,Nezar,13,FALSE
S137,DO,None,Nezar,16,TRUE
S137,DO,None,Nezar,12,FALSE
S137,PO,None,Nezar,6,FALSE
S137,PO,None,Nezar,15,FALSE
S137,PO,None,Nezar,19,TRUE
S137,DO,None,Nezar,14,FALSE
S137,DO,None,Nezar,9,FALSE
S137,PO,None,Nezar,1,TRUE
S137,DO,None,Nezar,7,FALSE
S137,PO,None,Nezar,8,FALSE
S137,PO,None,Nezar,17,TRUE
S137,PO,None,Nezar,4,TRUE
S137,DO,None,Nezar,18,TRUE
S137,DO,None,Nezar,2,TRUE
S138,DO,Accent,Nezar,18,TRUE
S138,PO,Accent,Nezar,17,TRUE
S138,PO,Accent,Nezar,20,TRUE
S138,DO,Accent,Nezar,7,TRUE
S138,PO,Accent,Nezar,6,TRUE
S138,DO,Accent,Nezar,12,TRUE
S138,PO,Accent,Nezar,15,TRUE
S138,PO,Accent,Nezar,19,TRUE
S138,PO,Accent,Nezar,4,TRUE
S138,DO,Accent,Nezar,10,TRUE
S138,PO,Accent,Nezar,11,TRUE
S138,PO,Accent,Nezar,8,TRUE
S138,DO,Accent,Nezar,3,TRUE
S138,DO,Accent,Nezar,2,TRUE
S138,PO,Accent,Nezar,13,TRUE
S138,DO,Accent,Nezar,14,TRUE
S138,PO,Accent,Nezar,1,TRUE
S138,DO,Accent,Nezar,5,TRUE
S138,DO,Accent,Nezar,9,TRUE
S138,DO,Accent,Nezar,16,TRUE
S142,PO,Accent,Idan,4,TRUE
S142,DO,Accent,Idan,14,FALSE
S142,DO,Accent,Idan,9,FALSE
S142,PO,Accent,Idan,19,TRUE
S142,PO,Accent,Idan,11,TRUE
S142,PO,Accent,Idan,6,TRUE
S142,PO,Accent,Idan,8,TRUE
S142,PO,Accent,Idan,15,FALSE
S142,DO,Accent,Idan,16,FALSE
S142,PO,Accent,Idan,13,TRUE
S142,DO,Accent,Idan,7,TRUE
S142,DO,Accent,Idan,18,TRUE
S142,PO,Accent,Idan,17,TRUE
S142,DO,Accent,Idan,3,TRUE
S142,PO,Accent,Idan,1,TRUE
S142,DO,Accent,Idan,5,FALSE
S142,DO,Accent,Idan,2,FALSE
S142,DO,Accent,Idan,12,FALSE
S144,DO,None,Nezar,9,TRUE
S144,DO,None,Nezar,12,TRUE
S144,DO,None,Nezar,3,TRUE
S144,PO,None,Nezar,17,TRUE
S144,PO,None,Nezar,11,TRUE
S144,DO,None,Nezar,18,TRUE
S144,PO,None,Nezar,13,TRUE
S144,PO,None,Nezar,4,TRUE
S144,DO,None,Nezar,2,TRUE
S144,DO,None,Nezar,5,FALSE
S144,PO,None,Nezar,15,TRUE
S144,PO,None,Nezar,1,TRUE
S144,DO,None,Nezar,16,TRUE
S144,DO,None,Nezar,10,TRUE
S144,PO,None,Nezar,6,TRUE
S144,DO,None,Nezar,14,TRUE
S144,DO,None,Nezar,7,TRUE
S144,PO,None,Nezar,8,TRUE
S144,PO,None,Nezar,20,TRUE
S144,PO,None,Nezar,19,TRUE
S149,PO,None,Nezar,10,TRUE
S149,PO,None,Nezar,7,TRUE
S149,DO,None,Nezar,13,TRUE
S149,PO,None,Nezar,9,TRUE
S149,PO,None,Nezar,5,TRUE
S149,PO,None,Nezar,2,TRUE
S149,DO,None,Nezar,17,FALSE
S149,PO,None,Nezar,12,TRUE
S149,DO,None,Nezar,6,FALSE
S149,PO,None,Nezar,18,TRUE
S149,DO,None,Nezar,19,TRUE
S149,PO,None,Nezar,3,TRUE
S149,DO,None,Nezar,20,TRUE
S149,DO,None,Nezar,1,TRUE
S149,PO,None,Nezar,16,TRUE
S149,DO,None,Nezar,11,TRUE
S149,DO,None,Nezar,15,FALSE
S149,DO,None,Nezar,8,TRUE
S149,DO,None,Nezar,4,TRUE
S152,PO,None,Idan,7,TRUE
S152,DO,None,Idan,4,TRUE
S152,PO,None,Idan,2,FALSE
